CALIBRE,TYPE,DIAMETER,HEIGHT,JEWELS,VPH,HZ,POWER,SECONDS,DATE,DAY,HACKING,ROTORBALL
A07.111,1,36.6 ,7.9 ,24,28800,4,48,0,1,0,0,0
A07.161,1,36.6 ,7.9 ,24,28800,4,48,0,1,0,0,0
A07.171,1,36.6 ,7.9 ,24,28800,4,48,0,1,0,0,0
A07.211 ,1,36.6 ,7.9 ,25,28800,4,48,1,1,0,1,1
C07.111,1,25.6 ,4.6 ,23,21600,3,80,0,1,0,1,1
2094,1,23.3 ,5.5 ,33,28800,4,37,1,1,0,1,1
2671,1,17.2 ,4.8 ,25,28800,4,38,0,1,0,1,1
2678,1,17.2 ,5.35 ,25,28800,4,38,0,1,1,1,1
2000-1,1,19.4 ,3.6 ,20,28800,4,40,0,1,0,1,1
2681,1,19.4 ,4.8 ,25,28800,4,38,0,1,0,1,1
2801-2,0,25.6 ,3.35 ,17,28800,4,42,0,0,0,1,0
2804-2,0,25.6 ,3.35 ,17,28800,4,42,0,1,0,1,0
2824-2,1,25.6 ,4.6 ,25,28800,4,38,0,1,0,1,1
2826-2,1,25.6 ,6.2 ,25,28800,4,38,0,2,0,1,1
2834-2,1,29,5.05 ,25,28800,4,38,0,1,1,1,1
2836-2,1,25.6 ,5.05 ,25,28800,4,38,0,1,1,1,1
2892-A2,1,25.6 ,3.6 ,21,28800,4,42,0,1,0,1,1
2893-1,1,25.6 ,4.1 ,21,28800,4,42,0,2,0,1,1
2893-2,1,25.6 ,4.1 ,21,28800,4,42,0,1,0,1,1
2893-3,1,25.6 ,4.1 ,21,28800,4,42,0,0,0,1,1
2894-2,1,28,6.1 ,37,28800,4,42,1,1,0,1,1
2895-2,1,25.6 ,4.35 ,27,28800,4,42,1,1,0,1,1
2896,1,25.6 ,4.85 ,22,28800,4,42,0,2,0,1,1
2897,1,25.6 ,4.85 ,21,28800,4,42,0,1,0,1,1
6497-1,0,36.6 ,4.5 ,17,18000,2.5 ,46,1,0,0,0,0
6497-2,0,36.6 ,4.5 ,17,21600,3,56,1,0,0,0,0
6498-1,0,36.6 ,4.5 ,17,18000,2.5 ,46,1,0,0,0,0
6498-2,0,36.6 ,4.5 ,17,21600,3,56,1,0,0,0,0
7001,0,23.3 ,2.5 ,17,21600,3,42,1,0,0,0,0
7750,1,30,7.9 ,25,28800,4,48,1,1,1,1,1
7751,1,30,7.9 ,25,28800,4,48,1,1,1,1,1
7753,1,30,7.9 ,27,28800,4,48,1,1,0,1,1
7754,1,30,7.9 ,25,28800,4,48,1,1,0,1,1
